Date,Window_Start,Window_End,PINN_IV,Classical_IV,RV_22_mean,r_mean,sigma_init
2025-01-16,2025-01-01,2025-01-30,0.13426586985588074,0.13724451219752207,0.13122437457014585,0.06499999999999999,0.13122437457014585
2025-02-17,2025-01-31,2025-03-04,0.1150570660829544,0.11569830882099308,0.1169960963185253,0.06499999999999999,0.1169960963185253
2025-03-21,2025-03-05,2025-04-11,0.10876736044883728,0.1104257840705983,0.12233023238634395,0.06499999999999999,0.12233023238634395
2025-05-02,2025-04-15,2025-05-16,0.11820583790540695,0.12932351580679216,0.2034246768317378,0.06499999999999999,0.2034246768317378
2025-06-04,2025-05-19,2025-06-18,0.12088143825531006,0.126592337797192,0.15436896254477953,0.06499999999999999,0.15436896254477953
2025-07-04,2025-06-19,2025-07-18,0.08734317868947983,0.09462884198891856,0.09544786884486876,0.06499999999999999,0.09544786884486876
2025-08-05,2025-07-21,2025-08-20,0.0807703360915184,0.08540598642189652,0.08223380226989402,0.06499999999999999,0.08223380226989402
2025-09-08,2025-08-21,2025-09-22,0.07610461115837097,0.07641783592160147,0.09004369567882062,0.06499999999999999,0.09004369567882062
2025-10-09,2025-09-23,2025-10-24,0.07927029579877853,0.07747971523313735,0.07715040405644626,0.06499999999999999,0.07715040405644626
2025-11-12,2025-10-27,2025-11-26,0.09134487062692642,0.08955038410293394,0.07710521294827974,0.06499999999999999,0.07710521294827974
2025-12-12,2025-11-27,2025-12-29,0.07237115502357483,0.07349999129134416,0.07754115932629914,0.06499999999999999,0.07754115932629914
2026-01-14,2025-12-30,2026-01-30,0.0884217768907547,0.09080272820675298,0.07977914106961033,0.06499999999999999,0.07977914106961033
2026-02-17,2026-02-02,2026-03-04,0.09501700103282928,0.10283728789202322,0.13069857552018907,0.06499999999999999,0.13069857552018907
