Moneyness,T_days,T_years,Surface_IV
0.9,7,0.027777777777777776,0.11977764219045639
0.9,14,0.05555555555555555,0.09753725677728653
0.9,21,0.08333333333333333,0.10573752224445343
0.9,28,0.1111111111111111,0.13516589999198914
0.9,35,0.1388888888888889,0.16890721023082733
0.95,7,0.027777777777777776,0.10118740797042847
0.95,14,0.05555555555555555,0.09854336082935333
0.95,21,0.08333333333333333,0.11567819863557816
0.95,28,0.1111111111111111,0.13493753969669342
0.95,35,0.1388888888888889,0.1386602222919464
1.0,7,0.027777777777777776,0.12147852033376694
1.0,14,0.05555555555555555,0.12455674260854721
1.0,21,0.08333333333333333,0.1331593543291092
1.0,28,0.1111111111111111,0.13443349301815033
1.0,35,0.1388888888888889,0.12660551071166992
1.05,7,0.027777777777777776,0.3622465431690216
1.05,14,0.05555555555555555,0.32143479585647583
1.05,21,0.08333333333333333,0.28118178248405457
1.05,28,0.1111111111111111,0.2412487417459488
1.05,35,0.1388888888888889,0.20551399886608124
1.1,7,0.027777777777777776,0.5556904673576355
1.1,14,0.05555555555555555,0.3462170958518982
1.1,21,0.08333333333333333,0.23212072253227234
1.1,28,0.1111111111111111,0.16994799673557281
1.1,35,0.1388888888888889,0.13469508290290833
